machine_id,scheduled_date,maintenance_type
M07,2023-02-14,Routine Inspection
M07,2023-04-23,Routine Inspection
M07,2023-07-27,Part Replacement
M07,2023-10-18,Routine Inspection
M07,2023-12-31,Routine Inspection
M07,2024-03-24,Routine Inspection
M07,2024-07-13,Full Overhaul
M07,2024-09-13,Part Replacement
M07,2024-12-14,Part Replacement
M07,2025-02-19,Routine Inspection
M07,2025-04-30,Part Replacement
M07,2025-06-30,Routine Inspection
M07,2025-10-12,Routine Inspection
M07,2025-12-20,Full Overhaul
M07,2026-02-28,Routine Inspection
M07,2026-06-02,Part Replacement
M07,2026-08-13,Routine Inspection
M07,2026-12-10,Routine Inspection
M08,2021-01-15,Part Replacement
M08,2021-03-22,Routine Inspection
M08,2021-05-25,Part Replacement
M08,2021-09-02,Part Replacement
M08,2021-12-22,Part Replacement
M08,2022-03-07,Part Replacement
M08,2022-06-30,Routine Inspection
M08,2022-10-02,Part Replacement
M08,2023-01-04,Part Replacement
M08,2023-04-08,Routine Inspection
M08,2023-07-05,Routine Inspection
M08,2023-09-28,Routine Inspection
M08,2024-01-21,Part Replacement
M08,2024-05-10,Part Replacement
M08,2024-08-19,Routine Inspection
M08,2024-10-30,Part Replacement
M08,2025-02-20,Part Replacement
M08,2025-06-10,Routine Inspection
M08,2025-09-01,Part Replacement
M08,2025-11-24,Part Replacement
M08,2026-03-02,Routine Inspection
M08,2026-05-31,Routine Inspection
M08,2026-09-12,Routine Inspection
M08,2026-12-19,Routine Inspection
M09,2021-02-16,Part Replacement
M09,2021-05-08,Part Replacement
M09,2021-08-20,Part Replacement
M09,2021-10-21,Part Replacement
M09,2021-12-29,Routine Inspection
M09,2022-04-09,Part Replacement
M09,2022-06-18,Routine Inspection
M09,2022-10-14,Part Replacement
M09,2023-01-09,Routine Inspection
M09,2023-04-30,Routine Inspection
M09,2023-07-01,Routine Inspection
M09,2023-10-08,Routine Inspection
M09,2023-12-08,Full Overhaul
M09,2024-03-13,Routine Inspection
M09,2024-05-26,Part Replacement
M09,2024-08-27,Part Replacement
M09,2024-10-28,Routine Inspection
M09,2025-02-23,Routine Inspection
M09,2025-06-22,Part Replacement
M09,2025-09-04,Full Overhaul
M09,2025-11-23,Part Replacement
M09,2026-01-29,Part Replacement
M09,2026-04-21,Routine Inspection
M09,2026-08-15,Part Replacement
M09,2026-11-20,Routine Inspection
M10,2021-01-12,Part Replacement
M10,2021-05-07,Full Overhaul
M10,2021-08-24,Routine Inspection
M10,2021-11-23,Part Replacement
M10,2022-03-21,Part Replacement
M10,2022-05-27,Routine Inspection
M10,2022-08-22,Routine Inspection
M10,2022-11-18,Part Replacement
M10,2023-01-19,Routine Inspection
M10,2023-05-01,Part Replacement
M10,2023-08-01,Part Replacement
M10,2023-10-09,Part Replacement
M10,2024-01-19,Routine Inspection
M10,2024-04-01,Routine Inspection
M10,2024-06-06,Part Replacement
M10,2024-09-18,Routine Inspection
M10,2024-12-03,Routine Inspection
M10,2025-03-09,Routine Inspection
M10,2025-05-27,Routine Inspection
M10,2025-09-20,Routine Inspection
M10,2025-11-23,Routine Inspection
M10,2026-02-23,Full Overhaul
M10,2026-05-04,Routine Inspection
M10,2026-07-04,Routine Inspection
M10,2026-09-21,Routine Inspection
