date,machine_id,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,health_score,failure_risk
2021-02-13,M01,298.1,308.0,1397.8,46.6,14.9,84.4,0.006
2021-02-14,M01,299.8,310.3,1620.3,42.7,17.7,88.8,0.008
2021-02-15,M01,298.9,307.5,1463.9,30.0,19.3,96.7,0.011
2021-02-16,M01,298.3,309.0,1229.5,38.0,22.6,87.2,0.013
2021-02-17,M01,297.0,306.4,1608.3,41.8,31.6,89.7,0.016
2021-02-18,M01,292.7,305.1,1583.8,35.2,28.8,89.3,0.019
2021-02-19,M01,300.2,310.3,1494.0,46.2,34.0,88.0,0.022
2021-02-20,M01,304.4,315.3,1613.4,46.2,39.6,83.9,0.026
2021-02-21,M01,297.8,306.6,1396.2,46.9,32.7,78.0,0.03
2021-02-22,M01,296.9,308.4,1510.6,44.8,34.6,85.0,0.034
2021-02-23,M01,298.8,309.8,1522.5,49.4,45.6,79.5,0.038
2021-02-24,M01,300.5,311.4,1540.7,34.1,51.1,78.7,0.043
2021-02-25,M01,298.6,310.2,1491.6,38.0,43.3,80.8,0.048
2021-02-26,M01,297.7,308.9,1476.7,39.5,49.9,77.2,0.053
2021-02-27,M01,294.8,304.3,1550.6,40.3,50.0,74.6,0.058
2021-02-28,M01,302.4,313.5,1521.0,35.8,57.2,76.6,0.064
2021-03-01,M01,299.7,309.0,1507.8,42.9,52.8,77.5,0.07
2021-03-02,M01,299.9,311.0,1393.6,42.7,64.4,72.7,0.076
2021-03-03,M01,297.3,307.5,1395.7,43.3,66.2,76.3,0.083
2021-03-04,M01,300.6,310.6,1493.7,39.8,71.6,74.9,0.089
2021-03-05,M01,298.4,309.1,1485.4,44.0,64.4,65.9,0.096
2021-03-06,M01,296.3,308.2,1306.3,36.0,61.8,62.1,0.104
2021-03-07,M01,298.0,308.8,1523.2,44.6,76.4,66.4,0.111
2021-03-08,M01,297.8,310.0,1488.8,45.5,84.5,64.9,0.119
2021-03-09,M01,299.9,311.0,1567.2,48.7,86.2,63.6,0.127
2021-03-10,M01,296.6,308.1,1430.1,49.3,76.3,62.6,0.135
2021-03-11,M01,298.0,309.8,1464.0,34.6,89.3,61.1,0.144
2021-03-12,M01,296.4,307.0,1290.6,49.4,83.6,59.7,0.153
2021-03-13,M01,300.6,311.0,1457.9,41.4,96.7,56.9,0.162
2021-03-14,M01,299.2,311.0,1581.1,36.0,88.4,56.2,0.171
2021-03-15,M01,297.8,310.0,1371.7,44.8,78.7,61.6,0.181
2021-03-16,M01,302.2,315.5,1544.2,47.2,101.4,57.3,0.191
2021-03-17,M01,298.1,311.1,1360.7,33.4,91.9,58.0,0.201
2021-03-18,M01,302.3,313.4,1552.9,42.1,87.7,59.4,0.211
2021-03-19,M01,297.7,309.9,1455.4,48.1,88.7,55.0,0.222
2021-03-20,M01,295.7,306.8,1666.3,53.7,114.9,52.5,0.233
2021-03-21,M01,298.8,310.4,1492.2,42.1,93.6,48.6,0.244
2021-03-22,M01,300.8,313.8,1451.5,46.1,96.4,54.7,0.256
2021-03-23,M01,303.4,314.9,1432.3,45.0,93.6,47.6,0.268
2021-03-24,M01,299.1,311.3,1461.8,42.2,127.9,48.2,0.28
2021-03-25,M01,299.1,311.6,1375.0,41.4,116.5,52.9,0.292
2021-03-26,M01,299.4,313.5,1422.0,51.9,102.1,45.0,0.304
2021-03-27,M01,298.8,309.6,1385.5,44.9,115.7,40.8,0.317
2021-03-28,M01,298.9,309.8,1429.6,48.1,104.5,40.6,0.33
2021-03-29,M01,301.0,313.9,1397.1,46.7,117.3,41.0,0.344
2021-03-30,M01,297.8,310.5,1525.5,46.6,124.4,41.2,0.357
2021-03-31,M01,300.4,312.6,1327.0,57.3,123.5,44.4,0.371
2021-04-01,M01,303.7,314.7,1384.7,48.4,126.9,33.4,0.385
2021-04-02,M01,298.7,311.9,1502.7,52.3,114.7,37.1,0.4
2021-04-03,M01,298.9,310.8,1312.9,33.6,144.9,34.7,0.414
2021-04-04,M01,298.0,310.4,1323.0,40.4,144.7,31.6,0.429
2021-04-05,M01,299.9,311.4,1338.9,45.6,140.2,33.4,0.444
2021-04-06,M01,300.7,312.7,1412.2,50.5,141.9,27.0,0.46
2021-04-07,M01,302.5,315.0,1443.7,53.1,143.8,33.9,0.476
2021-04-08,M01,302.4,315.7,1235.0,45.8,128.2,31.8,0.492
2021-04-09,M01,303.0,316.6,1198.8,48.6,163.0,28.0,0.508
2021-04-10,M01,299.5,313.9,1419.6,46.8,139.2,25.9,0.524
2021-04-11,M01,303.6,315.2,1451.1,52.7,159.2,28.8,0.541
2021-04-12,M01,296.1,310.6,1540.0,42.9,179.5,26.3,0.558
2021-04-13,M01,296.5,309.4,1387.7,49.4,153.7,24.2,0.576
2021-04-14,M01,301.2,314.3,1472.6,48.2,164.0,23.3,0.593
2021-04-15,M01,297.3,311.6,1392.9,50.8,162.4,19.3,0.611
2021-04-16,M01,297.5,309.7,1423.7,46.9,191.9,19.6,0.629
2021-04-17,M01,302.3,316.4,1267.7,50.7,183.1,18.0,0.647
2021-04-18,M01,296.8,308.5,1476.5,45.5,196.7,20.4,0.666
2021-04-19,M01,301.4,315.3,1503.1,56.3,171.8,15.9,0.685
2021-04-20,M01,299.8,315.0,1381.1,49.2,176.4,13.8,0.704
2021-04-21,M01,302.8,314.9,1500.0,51.8,172.3,12.9,0.723
2021-04-22,M01,298.9,312.9,1607.8,49.4,198.6,16.5,0.743
2021-04-23,M01,300.1,313.0,1279.2,48.8,158.6,18.0,0.763
2021-04-24,M01,300.6,314.8,1229.4,49.0,198.3,9.0,0.783
2021-04-25,M01,300.3,314.5,1278.5,47.5,204.3,12.0,0.804
2021-04-26,M01,301.1,314.5,1403.7,41.7,190.6,10.0,0.825
2021-04-27,M01,300.9,314.1,1403.0,49.9,206.2,5.3,0.846
2021-04-28,M01,302.8,315.6,1464.0,46.6,173.2,5.5,0.867
2021-04-29,M01,297.5,311.0,1272.1,53.9,193.6,9.7,0.888
2021-04-30,M01,296.1,311.1,1250.9,52.2,234.4,3.4,0.91
2021-05-01,M01,299.8,313.1,1319.1,48.9,200.1,2.9,0.932
2021-05-02,M01,300.7,313.5,1291.3,47.7,177.3,0.0,0.955
2021-05-03,M01,301.7,315.8,1174.6,47.8,242.0,6.9,0.977
2021-05-04,M01,299.2,310.8,1412.3,29.2,0.0,100.9,0.0
2021-05-05,M01,297.3,306.4,1344.5,39.6,2.1,96.9,0.0
2021-05-06,M01,297.2,307.3,1585.2,37.7,4.4,98.2,0.0
2021-05-07,M01,299.3,308.6,1495.6,41.6,5.9,96.5,0.001
2021-05-08,M01,297.4,308.0,1433.8,43.2,7.9,92.4,0.001
2021-05-09,M01,296.6,307.3,1579.5,40.6,10.5,96.0,0.002
2021-05-10,M01,298.7,309.9,1590.0,40.4,10.4,99.3,0.003
2021-05-11,M01,297.3,306.4,1472.6,44.2,15.4,91.5,0.004
2021-05-12,M01,298.5,309.4,1630.4,33.9,17.7,91.9,0.006
2021-05-13,M01,297.0,308.5,1469.6,39.6,17.7,94.3,0.007
2021-05-14,M01,297.9,308.2,1450.5,41.2,22.8,92.5,0.009
2021-05-15,M01,298.4,309.0,1268.6,38.7,20.3,93.7,0.011
2021-05-16,M01,296.0,305.9,1330.5,38.7,21.9,84.3,0.013
2021-05-17,M01,299.1,310.2,1505.2,41.1,27.8,91.1,0.015
2021-05-18,M01,301.5,310.5,1485.4,47.8,26.1,86.0,0.017
2021-05-19,M01,301.5,313.8,1549.2,42.8,32.5,85.7,0.02
2021-05-20,M01,302.1,314.1,1427.7,43.5,28.0,86.6,0.023
2021-05-21,M01,297.5,308.5,1449.5,30.1,35.1,79.8,0.026
2021-05-22,M01,299.6,309.7,1656.5,48.2,42.1,80.0,0.029
2021-05-23,M01,304.0,314.0,1498.8,34.6,34.6,86.1,0.032
2021-05-24,M01,296.5,307.1,1499.1,41.1,39.1,81.2,0.036
2021-05-25,M01,296.8,308.7,1423.0,46.2,41.1,81.4,0.039
2021-05-26,M01,297.0,308.9,1495.7,45.8,40.8,75.1,0.043
2021-05-27,M01,298.9,311.0,1487.1,47.8,53.7,77.1,0.047
2021-05-28,M01,296.0,308.2,1471.9,51.5,43.1,77.3,0.051
2021-05-29,M01,299.6,309.5,1434.4,38.7,49.9,73.3,0.056
2021-05-30,M01,298.9,308.8,1441.3,53.8,57.6,75.4,0.06
2021-05-31,M01,300.3,311.2,1544.8,39.6,51.5,69.7,0.065
2021-06-01,M01,302.3,312.6,1446.4,39.7,54.1,70.9,0.07
2021-06-02,M01,297.6,308.5,1439.4,47.5,54.0,73.8,0.075
2021-06-03,M01,297.3,308.4,1565.2,39.5,63.3,69.6,0.08
2021-06-04,M01,295.9,304.6,1579.9,46.5,67.2,71.3,0.086
2021-06-05,M01,299.5,309.9,1414.8,35.9,62.4,72.8,0.091
2021-06-06,M01,299.7,312.4,1447.1,50.7,68.5,67.9,0.097
2021-06-07,M01,301.5,312.8,1365.0,40.7,79.4,70.4,0.103
2021-06-08,M01,300.2,312.8,1562.4,48.0,81.0,64.3,0.109
2021-06-09,M01,298.2,310.5,1385.3,52.3,66.2,65.3,0.115
2021-06-10,M01,298.9,312.6,1315.6,42.3,73.2,57.4,0.122
2021-06-11,M01,298.3,309.4,1345.5,43.8,88.3,57.9,0.129
2021-06-12,M01,299.2,311.4,1441.9,42.4,90.0,58.8,0.135
2021-06-13,M01,300.5,313.3,1362.0,38.8,81.9,62.2,0.142
2021-06-14,M01,301.7,313.1,1197.2,35.8,86.7,62.0,0.15
2021-06-15,M01,296.8,308.8,1475.9,40.7,95.5,61.4,0.157
2021-06-16,M01,298.5,308.9,1575.2,41.7,82.4,55.8,0.165
2021-06-17,M01,300.0,309.6,1375.2,44.2,97.2,64.0,0.172
2021-06-18,M01,300.4,311.1,1554.0,45.5,87.4,59.3,0.18
2021-06-19,M01,300.0,310.5,1384.9,37.1,85.8,62.6,0.188
2021-06-20,M01,299.1,309.8,1318.0,50.7,84.2,52.5,0.197
2021-06-21,M01,303.8,314.2,1651.1,48.7,84.8,48.0,0.205
2021-06-22,M01,298.5,308.5,1514.5,38.9,93.0,50.3,0.214
2021-06-23,M01,300.5,311.6,1587.4,51.9,99.1,54.7,0.222
2021-06-24,M01,297.6,309.7,1431.5,41.1,104.2,54.9,0.231
2021-06-25,M01,297.6,309.0,1206.3,38.1,114.8,51.9,0.241
2021-06-26,M01,296.7,309.8,1489.4,48.7,108.9,50.1,0.25
2021-06-27,M01,300.0,311.4,1631.8,48.6,113.5,46.2,0.26
2021-06-28,M01,300.8,312.5,1503.6,41.6,102.8,49.2,0.269
2021-06-29,M01,300.8,313.3,1481.7,43.3,113.5,45.1,0.279
2021-06-30,M01,300.4,311.7,1487.2,41.6,112.2,45.2,0.289
2021-07-01,M01,295.9,308.8,1386.6,53.4,115.1,40.8,0.299
2021-07-02,M01,300.0,311.9,1389.3,47.9,127.4,47.0,0.31
2021-07-03,M01,300.8,313.3,1335.6,44.0,135.9,46.2,0.32
2021-07-04,M01,300.0,313.1,1514.7,37.1,115.5,45.4,0.331
2021-07-05,M01,299.3,313.2,1376.0,42.2,133.4,38.4,0.342
2021-07-06,M01,301.1,312.6,1394.4,49.4,134.8,36.1,0.353
2021-07-07,M01,301.0,313.6,1386.8,51.4,113.5,37.9,0.365
2021-07-08,M01,300.2,312.4,1529.9,45.3,115.0,36.3,0.376
2021-07-09,M01,297.2,308.2,1355.0,45.6,112.9,38.5,0.388
2021-07-10,M01,300.5,313.0,1436.5,46.7,117.3,36.8,0.4
2021-07-11,M01,299.4,310.6,1450.7,52.5,120.2,33.9,0.412
2021-07-12,M01,301.8,313.8,1413.4,55.5,149.4,34.2,0.424
2021-07-13,M01,300.2,311.2,1466.8,52.9,155.5,34.7,0.436
2021-07-14,M01,297.7,310.9,1349.6,44.6,128.2,31.8,0.449
2021-07-15,M01,300.2,313.8,1442.8,50.5,157.3,32.5,0.461
2021-07-16,M01,300.6,313.6,1470.3,41.8,171.3,32.5,0.474
2021-07-17,M01,299.3,311.9,1369.8,47.2,173.3,30.3,0.487
2021-07-18,M01,297.4,310.9,1286.8,52.1,147.3,28.5,0.501
2021-07-19,M01,302.4,316.6,1447.8,49.8,131.9,26.0,0.514
2021-07-20,M01,298.6,312.2,1352.6,50.5,171.1,31.9,0.528
2021-07-21,M01,300.9,312.3,1397.4,48.0,152.9,25.9,0.541
2021-07-22,M01,298.0,311.0,1318.9,50.8,170.1,28.5,0.555
2021-07-23,M01,299.3,311.1,1294.9,42.8,145.3,24.9,0.57
2021-07-24,M01,300.3,313.7,1376.7,51.0,138.0,21.0,0.584
2021-07-25,M01,302.7,315.8,1405.2,45.7,167.5,25.5,0.598
2021-07-26,M01,301.2,314.5,1382.6,50.8,180.3,18.7,0.613
2021-07-27,M01,301.1,314.4,1209.9,49.0,162.0,19.0,0.628
2021-07-28,M01,300.1,313.5,1361.8,37.9,191.2,21.3,0.643
2021-07-29,M01,301.2,313.2,1424.1,46.6,195.1,24.6,0.658
2021-07-30,M01,297.9,312.2,1457.3,47.2,200.4,18.9,0.674
2021-07-31,M01,302.5,314.7,1390.4,48.3,191.9,18.8,0.689
2021-08-01,M01,300.9,314.7,1294.5,52.3,200.1,15.3,0.705
2021-08-02,M01,298.6,311.2,1301.7,48.3,192.5,16.4,0.721
2021-08-03,M01,299.3,313.8,1273.9,55.0,164.5,11.8,0.737
2021-08-04,M01,301.8,312.3,1469.5,46.9,163.5,12.1,0.753
2021-08-05,M01,303.5,318.5,1395.6,52.4,194.8,7.9,0.77
2021-08-06,M01,301.0,313.9,1212.2,48.9,217.2,6.9,0.786
2021-08-07,M01,300.4,315.5,1387.0,44.5,221.4,5.9,0.803
2021-08-08,M01,301.8,315.3,1539.8,52.4,203.4,8.2,0.82
2021-08-09,M01,299.9,314.0,1499.1,46.9,216.8,7.8,0.837
2021-08-10,M01,300.4,315.4,1134.1,46.4,205.9,0.0,0.855
2021-08-11,M01,300.9,314.3,1419.4,46.1,207.2,7.8,0.872
2021-08-12,M01,298.1,311.5,1339.6,48.5,199.3,7.6,0.89
2021-08-13,M01,300.4,313.2,1332.8,50.0,200.2,4.7,0.908
2021-08-14,M01,300.9,316.4,1379.7,55.8,212.0,7.1,0.926
2021-08-15,M01,300.6,314.2,1389.2,46.8,204.5,1.6,0.944
2021-08-16,M01,303.2,316.9,1273.9,50.9,179.5,5.6,0.963
2021-08-17,M01,302.7,316.0,1224.7,55.6,215.0,1.2,0.981
2021-08-18,M01,297.2,305.0,1310.6,29.6,0.0,99.1,0.0
2021-08-19,M01,298.0,308.8,1598.6,38.5,1.1,99.2,0.0
2021-08-20,M01,297.0,304.8,1703.9,40.3,2.2,101.4,0.0
2021-08-21,M01,300.5,310.7,1449.0,43.9,4.2,99.7,0.0
2021-08-22,M01,300.5,311.1,1378.5,38.2,4.2,94.7,0.001
2021-08-23,M01,296.6,306.2,1700.7,41.6,5.4,101.2,0.001
2021-08-24,M01,301.0,311.3,1463.1,29.1,7.9,95.7,0.001
2021-08-25,M01,295.4,305.9,1607.2,44.1,8.9,93.2,0.002
2021-08-26,M01,296.9,308.5,1618.5,43.5,10.7,92.6,0.002
2021-08-27,M01,298.9,308.9,1493.9,40.6,10.7,99.1,0.003
2021-08-28,M01,300.4,310.4,1441.3,39.9,13.3,90.2,0.003
2021-08-29,M01,303.5,314.7,1379.1,45.7,13.9,93.6,0.004
2021-08-30,M01,300.9,309.3,1551.2,39.8,14.9,94.9,0.005
2021-08-31,M01,297.2,307.4,1583.3,43.4,17.2,95.3,0.005
2021-09-01,M01,299.4,309.1,1612.8,38.7,19.2,97.3,0.006
2021-09-02,M01,295.1,306.5,1514.8,36.8,19.2,90.8,0.007
2021-09-03,M01,299.7,311.1,1453.8,38.1,21.4,87.8,0.008
2021-09-04,M01,299.7,310.7,1493.8,44.7,19.6,92.2,0.009
2021-09-05,M01,298.2,309.7,1397.1,34.5,23.8,90.1,0.01
2021-09-06,M01,299.8,310.6,1533.0,43.3,21.6,89.2,0.011
2021-09-07,M01,298.3,306.5,1455.9,39.4,23.0,89.0,0.013
2021-09-08,M01,300.0,310.2,1458.5,40.9,23.3,89.8,0.014
2021-09-09,M01,296.6,306.1,1460.5,45.7,22.3,88.0,0.015
2021-09-10,M01,298.0,310.3,1619.2,44.6,26.4,90.5,0.017
2021-09-11,M01,294.2,303.8,1390.8,36.3,27.9,85.6,0.018
2021-09-12,M01,298.8,310.3,1442.6,50.3,33.8,90.6,0.02
2021-09-13,M01,299.5,309.7,1599.1,42.0,29.2,88.7,0.021
2021-09-14,M01,300.5,310.7,1507.9,29.4,29.8,86.2,0.023
2021-09-15,M01,301.6,313.0,1449.4,44.0,35.4,85.5,0.025
2021-09-16,M01,299.7,309.9,1514.8,46.0,34.9,83.1,0.027
2021-09-17,M01,298.4,308.2,1564.1,46.8,37.1,76.7,0.028
2021-09-18,M01,296.5,305.2,1370.9,44.7,43.1,84.8,0.03
2021-09-19,M01,297.1,305.9,1430.1,35.3,39.5,88.1,0.032
2021-09-20,M01,301.9,311.2,1342.8,40.1,38.3,81.1,0.034
2021-09-21,M01,297.9,310.2,1392.1,44.3,40.3,84.6,0.036
2021-09-22,M01,298.1,308.4,1480.6,41.5,48.8,76.5,0.039
2021-09-23,M01,297.9,308.7,1378.4,41.5,46.3,82.0,0.041
2021-09-24,M01,297.7,309.3,1397.4,41.6,50.5,84.5,0.043
2021-09-25,M01,299.5,310.0,1343.2,43.8,49.7,84.4,0.046
2021-09-26,M01,296.3,306.1,1464.4,48.9,42.2,79.9,0.048
2021-09-27,M01,300.4,309.6,1613.7,46.0,51.6,77.5,0.05
2021-09-28,M01,297.8,309.3,1486.3,50.2,43.0,76.2,0.053
2021-09-29,M01,296.2,307.6,1496.9,36.8,50.9,79.6,0.056
2021-09-30,M01,297.6,310.7,1406.7,40.9,49.9,78.3,0.058
2021-10-01,M01,295.5,304.4,1460.7,43.5,46.6,76.7,0.061
2021-10-02,M01,297.5,307.8,1545.6,44.4,61.6,75.3,0.064
2021-10-03,M01,302.5,312.0,1480.2,44.2,56.5,70.9,0.067
2021-10-04,M01,296.4,307.1,1530.1,43.5,57.0,69.4,0.07
2021-10-05,M01,298.5,308.0,1443.0,43.5,56.0,75.9,0.073
2021-10-06,M01,299.1,310.5,1467.0,47.1,54.5,70.0,0.076
2021-10-07,M01,300.6,312.6,1364.4,36.6,69.8,73.0,0.079
2021-10-08,M01,299.3,308.3,1541.6,43.9,53.2,74.0,0.082
2021-10-09,M01,298.9,308.9,1476.7,43.5,62.9,69.2,0.085
2021-10-10,M01,296.8,306.9,1355.8,43.4,67.5,68.7,0.089
2021-10-11,M01,301.6,312.6,1446.2,41.0,72.8,71.8,0.092
2021-10-12,M01,298.7,310.6,1456.6,36.0,68.2,70.1,0.095
2021-10-13,M01,297.4,308.7,1540.3,43.6,59.1,74.7,0.099
2021-10-14,M01,296.0,307.0,1420.5,52.4,62.6,71.6,0.103
2021-10-15,M01,295.9,306.8,1456.9,46.1,76.5,66.1,0.106
2021-10-16,M01,296.7,307.8,1296.4,48.8,75.3,66.2,0.11
2021-10-17,M01,290.9,303.6,1617.9,54.5,84.0,71.8,0.114
2021-10-18,M01,299.7,311.5,1429.8,50.8,67.3,63.0,0.117
2021-10-19,M01,298.9,309.7,1149.8,39.9,73.0,66.7,0.121
2021-10-20,M01,296.9,307.7,1261.7,46.0,82.3,68.5,0.125
2021-10-21,M01,301.7,313.2,1480.5,47.2,78.7,65.0,0.129
2021-10-22,M01,300.2,311.8,1497.8,36.0,84.5,62.7,0.133
2021-10-23,M01,295.7,307.2,1313.1,44.8,76.7,66.0,0.137
2021-10-24,M01,301.1,313.7,1645.2,50.7,91.6,64.9,0.142
2021-10-25,M01,298.1,309.1,1643.1,34.6,86.1,62.1,0.146
2021-10-26,M01,297.1,310.0,1451.1,38.7,96.7,61.9,0.15
2021-10-27,M01,299.5,311.0,1414.3,42.1,73.8,60.4,0.155
2021-10-28,M01,300.0,311.9,1435.5,39.7,88.8,53.3,0.159
2021-10-29,M01,293.6,304.2,1173.4,49.2,100.7,63.0,0.164
2021-10-30,M01,300.0,312.9,1513.5,46.4,96.3,56.7,0.168
2021-10-31,M01,298.4,309.2,1379.2,46.3,84.2,54.5,0.173
2021-11-01,M01,300.2,312.9,1361.2,42.9,102.2,58.7,0.178
2021-11-02,M01,295.5,307.4,1406.0,39.4,79.9,61.1,0.182
2021-11-03,M01,299.1,311.5,1481.5,46.2,95.1,63.4,0.187
2021-11-04,M01,299.8,311.5,1402.5,38.1,105.7,54.8,0.192
2021-11-05,M01,301.5,313.9,1242.7,45.0,81.1,56.5,0.197
2021-11-06,M01,298.5,309.2,1419.4,37.5,103.4,58.4,0.202
2021-11-07,M01,303.0,314.8,1489.8,38.9,97.5,56.0,0.207
2021-11-08,M01,301.0,314.1,1599.3,39.2,111.9,55.7,0.212
2021-11-09,M01,296.1,309.1,1443.1,40.8,88.9,50.1,0.217
2021-11-10,M01,298.8,310.4,1448.4,42.9,108.3,56.0,0.223
2021-11-11,M01,298.7,310.0,1434.8,46.2,100.7,56.0,0.228
2021-11-12,M01,299.0,309.6,1473.4,36.7,108.0,54.1,0.233
2021-11-13,M01,296.6,309.3,1326.0,45.8,115.5,51.1,0.239
2021-11-14,M01,299.0,310.1,1266.9,50.1,119.1,47.9,0.244
2021-11-15,M01,297.6,308.4,1384.9,40.5,113.4,51.2,0.25
2021-11-16,M01,300.6,312.3,1350.3,51.2,91.1,47.9,0.256
2021-11-17,M01,299.2,310.0,1321.2,36.0,127.3,47.1,0.261
2021-11-18,M01,296.5,308.7,1405.3,48.7,102.2,42.2,0.267
2021-11-19,M01,300.1,313.9,1400.7,40.8,109.1,40.8,0.273
2021-11-20,M01,300.5,314.0,1288.0,50.5,125.6,43.9,0.279
2021-11-21,M01,299.5,312.5,1466.0,44.1,108.4,47.4,0.285
2021-11-22,M01,297.9,309.5,1416.8,42.6,99.5,43.8,0.291
2021-11-23,M01,298.9,309.3,1496.1,40.9,109.2,42.9,0.297
2021-11-24,M01,298.4,308.9,1530.7,48.4,110.1,42.9,0.303
2021-11-25,M01,300.2,312.3,1321.3,49.3,118.5,44.5,0.309
2021-11-26,M01,297.0,307.6,1416.4,54.3,131.6,41.8,0.316
2021-11-27,M01,300.7,314.2,1529.4,32.7,124.6,45.7,0.322
2021-11-28,M01,298.9,311.6,1373.3,51.5,106.9,42.5,0.328
2021-11-29,M01,300.9,312.2,1339.8,48.4,114.3,46.3,0.335
2021-11-30,M01,297.0,309.2,1433.6,43.2,132.6,42.5,0.341
2021-12-01,M01,299.3,312.4,1444.1,45.3,144.6,40.4,0.348
2021-12-02,M01,302.6,315.7,1349.2,37.4,124.6,34.0,0.355
2021-12-03,M01,302.5,314.0,1343.1,49.2,133.9,43.7,0.361
2021-12-04,M01,302.6,315.6,1409.4,59.0,140.3,35.1,0.368
2021-12-05,M01,301.1,312.6,1595.6,43.1,127.3,35.2,0.375
2021-12-06,M01,302.2,314.3,1285.9,58.1,146.7,37.0,0.382
2021-12-07,M01,301.5,314.1,1439.4,38.7,145.0,36.6,0.389
2021-12-08,M01,295.3,307.6,1392.5,46.7,126.8,36.5,0.396
2021-12-09,M01,299.5,312.1,1354.6,54.5,123.3,37.2,0.403
2021-12-10,M01,300.9,313.4,1398.7,49.4,150.2,35.7,0.41
2021-12-11,M01,302.6,314.6,1476.8,42.1,128.8,34.7,0.417
2021-12-12,M01,299.9,311.0,1355.8,46.9,138.1,40.6,0.425
2021-12-13,M01,298.7,312.0,1208.1,35.9,155.4,34.7,0.432
2021-12-14,M01,299.3,312.3,1346.1,47.6,137.9,32.3,0.439
2021-12-15,M01,306.2,320.0,1245.1,44.7,138.8,25.4,0.447
2021-12-16,M01,297.6,311.3,1389.5,43.8,164.7,28.9,0.454
2021-12-17,M01,302.1,316.0,1248.1,43.1,132.3,36.8,0.462
2021-12-18,M01,299.9,312.2,1420.8,47.3,143.8,33.5,0.47
2021-12-19,M01,300.3,312.0,1364.2,45.7,133.3,30.9,0.477
2021-12-20,M01,300.7,314.2,1347.2,45.9,139.1,34.2,0.485
2021-12-21,M01,302.4,316.5,1360.2,53.3,157.4,31.0,0.493
